"","team","team_name","year","total","home","away","week","weekly_attendance"
"1","Arizona","Cardinals",2000,893926,387475,506451,1,77434
"2","Arizona","Cardinals",2000,893926,387475,506451,2,66009
"3","Arizona","Cardinals",2000,893926,387475,506451,3,NA
"4","Arizona","Cardinals",2000,893926,387475,506451,4,71801
"5","Arizona","Cardinals",2000,893926,387475,506451,5,66985
"6","Arizona","Cardinals",2000,893926,387475,506451,6,44296
"7","Arizona","Cardinals",2000,893926,387475,506451,7,38293
"8","Arizona","Cardinals",2000,893926,387475,506451,8,62981
"9","Arizona","Cardinals",2000,893926,387475,506451,9,35286
"10","Arizona","Cardinals",2000,893926,387475,506451,10,52244
"11","Arizona","Cardinals",2000,893926,387475,506451,11,64223
"12","Arizona","Cardinals",2000,893926,387475,506451,12,65356
"13","Arizona","Cardinals",2000,893926,387475,506451,13,42094
"14","Arizona","Cardinals",2000,893926,387475,506451,14,50289
"15","Arizona","Cardinals",2000,893926,387475,506451,15,53472
"16","Arizona","Cardinals",2000,893926,387475,506451,16,37452
"17","Arizona","Cardinals",2000,893926,387475,506451,17,65711
"18","Atlanta","Falcons",2000,964579,422814,541765,1,54626
"19","Atlanta","Falcons",2000,964579,422814,541765,2,75466
"20","Atlanta","Falcons",2000,964579,422814,541765,3,73025
"21","Atlanta","Falcons",2000,964579,422814,541765,4,58761
"22","Atlanta","Falcons",2000,964579,422814,541765,5,65424
"23","Atlanta","Falcons",2000,964579,422814,541765,6,50947
"24","Atlanta","Falcons",2000,964579,422814,541765,7,66019
"25","Atlanta","Falcons",2000,964579,422814,541765,8,56508
"26","Atlanta","Falcons",2000,964579,422814,541765,9,46178
"27","Atlanta","Falcons",2000,964579,422814,541765,10,70097
"28","Atlanta","Falcons",2000,964579,422814,541765,11,74309
"29","Atlanta","Falcons",2000,964579,422814,541765,12,67447
"30","Atlanta","Falcons",2000,964579,422814,541765,13,55175
"31","Atlanta","Falcons",2000,964579,422814,541765,14,44680
"32","Atlanta","Falcons",2000,964579,422814,541765,15,NA
"33","Atlanta","Falcons",2000,964579,422814,541765,16,64900
"34","Atlanta","Falcons",2000,964579,422814,541765,17,41017
"35","Baltimore","Ravens",2000,1062373,551695,510678,1,55049
"36","Baltimore","Ravens",2000,1062373,551695,510678,2,68843
"37","Baltimore","Ravens",2000,1062373,551695,510678,3,73464
"38","Baltimore","Ravens",2000,1062373,551695,510678,4,68481
"39","Baltimore","Ravens",2000,1062373,551695,510678,5,73018
"40","Baltimore","Ravens",2000,1062373,551695,510678,6,65194
"41","Baltimore","Ravens",2000,1062373,551695,510678,7,83252
"42","Baltimore","Ravens",2000,1062373,551695,510678,8,69200
"43","Baltimore","Ravens",2000,1062373,551695,510678,9,69405
"44","Baltimore","Ravens",2000,1062373,551695,510678,10,54759
"45","Baltimore","Ravens",2000,1062373,551695,510678,11,68490
"46","Baltimore","Ravens",2000,1062373,551695,510678,12,69416
"47","Baltimore","Ravens",2000,1062373,551695,510678,13,68361
"48","Baltimore","Ravens",2000,1062373,551695,510678,14,NA
"49","Baltimore","Ravens",2000,1062373,551695,510678,15,68805
"50","Baltimore","Ravens",2000,1062373,551695,510678,16,37452
"51","Baltimore","Ravens",2000,1062373,551695,510678,17,69184
"52","Buffalo","Bills",2000,1098587,560695,537892,1,72492
"53","Buffalo","Bills",2000,1098587,560695,537892,2,77722
"54","Buffalo","Bills",2000,1098587,560695,537892,3,77884
"55","Buffalo","Bills",2000,1098587,560695,537892,4,NA
"56","Buffalo","Bills",2000,1098587,560695,537892,5,72617
"57","Buffalo","Bills",2000,1098587,560695,537892,6,73901
"58","Buffalo","Bills",2000,1098587,560695,537892,7,72351
"59","Buffalo","Bills",2000,1098587,560695,537892,8,64116
"60","Buffalo","Bills",2000,1098587,560695,537892,9,72861
"61","Buffalo","Bills",2000,1098587,560695,537892,10,60292
"62","Buffalo","Bills",2000,1098587,560695,537892,11,72420
"63","Buffalo","Bills",2000,1098587,560695,537892,12,78457
"64","Buffalo","Bills",2000,1098587,560695,537892,13,65546
"65","Buffalo","Bills",2000,1098587,560695,537892,14,73002
"66","Buffalo","Bills",2000,1098587,560695,537892,15,56671
"67","Buffalo","Bills",2000,1098587,560695,537892,16,47230
"68","Buffalo","Bills",2000,1098587,560695,537892,17,61025
"69","Carolina","Panthers",2000,1095192,583489,511703,1,80257
"70","Carolina","Panthers",2000,1095192,583489,511703,2,66879
"71","Carolina","Panthers",2000,1095192,583489,511703,3,73025
"72","Carolina","Panthers",2000,1095192,583489,511703,4,NA
"73","Carolina","Panthers",2000,1095192,583489,511703,5,73310
"74","Carolina","Panthers",2000,1095192,583489,511703,6,72192
"75","Carolina","Panthers",2000,1095192,583489,511703,7,50015
"76","Carolina","Panthers",2000,1095192,583489,511703,8,73169
"77","Carolina","Panthers",2000,1095192,583489,511703,9,46178
"78","Carolina","Panthers",2000,1095192,583489,511703,10,66048
"79","Carolina","Panthers",2000,1095192,583489,511703,11,72981
"80","Carolina","Panthers",2000,1095192,583489,511703,12,64208
"81","Carolina","Panthers",2000,1095192,583489,511703,13,73295
"82","Carolina","Panthers",2000,1095192,583489,511703,14,73358
"83","Carolina","Panthers",2000,1095192,583489,511703,15,77481
"84","Carolina","Panthers",2000,1095192,583489,511703,16,72159
"85","Carolina","Panthers",2000,1095192,583489,511703,17,60637
"86","Chicago","Bears",2000,1080684,535552,545132,1,64104
"87","Chicago","Bears",2000,1080684,535552,545132,2,65569
