"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2019,10,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",53.00,8.00,4.81,0.00,0.00,0.00,3.19,0.00,0.00,674.00,333.00,0.00,0.00,0.00,341.00,
2019,10,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",115.00,19.00,7.28,0.00,7.23,0.00,4.49,0.00,1.00,615.00,195.00,0.00,211.00,0.00,209.00,
2019,10,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",142.00,10.00,2.84,0.84,2.53,0.00,3.79,0.00,0.00,734.00,208.00,119.00,91.00,0.00,316.00,
2019,10,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2019,10,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",3075.00,533.00,83.32,24.15,234.99,0.82,189.72,1.00,0.00,30295.00,7915.00,1487.00,9051.00,14.00,11828.00,
2019,10,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",48.00,3.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,144.00,0.00,51.00,16.00,0.00,77.00,
2019,10,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",45.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,37.00,0.00,0.00,
2019,10,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",164.00,28.00,8.81,4.38,12.03,0.00,2.78,0.00,3.00,1867.00,602.00,824.00,330.00,0.00,111.00,
2019,10,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",47.00,5.00,2.33,0.00,0.06,0.00,2.61,0.00,0.00,156.00,64.00,0.00,3.00,0.00,89.00,
2019,10,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",111.00,39.00,6.19,0.41,13.08,0.00,19.33,1.00,0.00,2351.00,509.00,7.00,468.00,0.00,1367.00,
2019,10,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",29.00,3.00,1.00,0.88,0.30,0.00,0.82,0.00,0.00,199.00,65.00,103.00,17.00,0.00,14.00,
2019,10,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",84.00,11.00,3.94,0.00,2.17,0.00,4.89,0.00,0.00,401.00,160.00,0.00,69.00,0.00,172.00,
2019,10,"9E","Endeavor Air Inc.","BNA","Nashville, TN: Nashville International",86.00,11.00,4.25,0.00,2.13,0.00,4.62,1.00,0.00,626.00,275.00,0.00,85.00,0.00,266.00,
2019,10,"9E","Endeavor Air Inc.","BOS","Boston, MA: Logan International",397.00,59.00,7.00,0.00,39.06,0.00,12.94,3.00,0.00,3709.00,264.00,0.00,2351.00,0.00,1094.00,
2019,10,"9E","Endeavor Air Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",208.00,25.00,11.43,0.69,6.21,0.00,6.68,0.00,0.00,1198.00,553.00,55.00,173.00,0.00,417.00,
2019,10,"9E","Endeavor Air Inc.","BTV","Burlington, VT: Burlington International",224.00,31.00,7.26,0.14,7.56,0.00,16.04,3.00,1.00,2686.00,1071.00,35.00,326.00,0.00,1254.00,
2019,10,"9E","Endeavor Air Inc.","BUF","Buffalo, NY: Buffalo Niagara International",247.00,48.00,7.42,0.03,5.36,0.00,35.18,3.00,0.00,3530.00,822.00,2.00,270.00,0.00,2436.00,
2019,10,"9E","Endeavor Air Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",231.00,17.00,4.69,0.00,6.63,0.00,5.68,2.00,0.00,1959.00,498.00,0.00,984.00,0.00,477.00,
2019,10,"9E","Endeavor Air Inc.","CAK","Akron, OH: Akron-Canton Regional",58.00,3.00,1.98,0.00,0.57,0.00,0.45,0.00,0.00,130.00,79.00,0.00,20.00,0.00,31.00,
2019,10,"9E","Endeavor Air Inc.","CHA","Chattanooga, TN: Lovell Field",123.00,24.00,5.10,0.00,8.45,0.00,10.45,0.00,0.00,842.00,188.00,0.00,179.00,0.00,475.00,
2019,10,"9E","Endeavor Air Inc.","CHO","Charlottesville, VA: Charlottesville Albemarle",188.00,48.00,14.01,1.91,9.97,0.00,22.12,0.00,1.00,3168.00,1034.00,63.00,451.00,0.00,1620.00,
2019,10,"9E","Endeavor Air Inc.","CHS","Charleston, SC: Charleston AFB/International",47.00,2.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,128.00,0.00,0.00,70.00,0.00,58.00,
2019,10,"9E","Endeavor Air Inc.","CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",83.00,11.00,6.60,0.00,1.38,0.00,3.01,0.00,0.00,503.00,372.00,0.00,43.00,0.00,88.00,
2019,10,"9E","Endeavor Air Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",312.00,40.00,7.75,0.00,9.66,0.00,22.58,2.00,0.00,1844.00,423.00,0.00,362.00,0.00,1059.00,
2019,10,"9E","Endeavor Air Inc.","CLT","Charlotte, NC: Charlotte Douglas International",230.00,57.00,13.08,0.00,11.92,0.00,32.00,2.00,0.00,3102.00,822.00,0.00,429.00,0.00,1851.00,
2019,10,"9E","Endeavor Air Inc.","CMH","Columbus, OH: John Glenn Columbus International",53.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,0.00,0.00,0.00,0.00,
2019,10,"9E","Endeavor Air Inc.","CSG","Columbus, GA: Columbus Airport",115.00,25.00,7.29,0.00,10.09,0.00,7.62,0.00,1.00,792.00,283.00,0.00,219.00,0.00,290.00,
2019,10,"9E","Endeavor Air Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",881.00,101.00,16.49,2.57,15.94,0.00,66.00,2.00,0.00,7895.00,1527.00,117.00,1397.00,0.00,4854.00,
2019,10,"9E","Endeavor Air Inc.","CWA","Mosinee, WI: Central Wisconsin",141.00,18.00,8.34,0.00,4.31,0.00,5.34,0.00,0.00,1490.00,1045.00,0.00,155.00,0.00,290.00,
2019,10,"9E","Endeavor Air Inc.","DAY","Dayton, OH: James M Cox/Dayton International",76.00,6.00,1.00,0.00,1.14,0.00,3.86,0.00,0.00,314.00,70.00,0.00,35.00,0.00,209.00,
2019,10,"9E","Endeavor Air Inc.","DCA","Washington, DC: Ronald Reagan Washington National",84.00,11.00,0.00,0.00,6.18,0.00,4.82,0.00,1.00,671.00,0.00,0.00,320.00,0.00,351.00,
2019,10,"9E","Endeavor Air Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",169.00,24.00,1.47,0.00,21.77,0.00,0.75,0.00,2.00,1949.00,137.00,0.00,1700.00,0.00,112.00,
2019,10,"9E","Endeavor Air Inc.","DSM","Des Moines, IA: Des Moines International",282.00,27.00,9.58,0.00,4.82,0.00,12.60,0.00,0.00,1391.00,485.00,0.00,222.00,0.00,684.00,
2019,10,"9E","Endeavor Air Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",1198.00,86.00,16.77,0.50,12.84,0.00,55.88,1.00,2.00,6522.00,2193.00,17.00,604.00,0.00,3708.00,
2019,10,"9E","Endeavor Air Inc.","EVV","Evansville, IN: Evansville Regional",199.00,29.00,14.04,0.00,7.06,0.00,7.90,0.00,0.00,1410.00,786.00,0.00,172.00,0.00,452.00,
2019,10,"9E","Endeavor Air Inc.","EWN","New Bern/Morehead/Beaufort, NC: Coastal Carolina Regional",62.00,11.00,2.23,0.05,3.56,0.00,5.16,0.00,0.00,449.00,67.00,1.00,94.00,0.00,287.00,
2019,10,"9E","Endeavor Air Inc.","EWR","Newark, NJ: Newark Liberty International",48.00,23.00,3.00,0.00,18.60,0.00,1.40,0.00,0.00,1268.00,216.00,0.00,995.00,0.00,57.00,
2019,10,"9E","Endeavor Air Inc.","FAY","Fayetteville, NC: Fayetteville Regional/Grannis Field",28.00,4.00,2.93,0.00,1.07,0.00,0.00,0.00,0.00,117.00,91.00,0.00,26.00,0.00,0.00,
2019,10,"9E","Endeavor Air Inc.","FNT","Flint, MI: Bishop International",58.00,7.00,3.65,0.97,1.03,0.00,1.35,0.00,0.00,233.00,114.00,30.00,17.00,0.00,72.00,
2019,10,"9E","Endeavor Air Inc.","FSD","Sioux Falls, SD: Joe Foss Field",27.00,2.00,1.01,0.00,0.00,0.00,0.99,0.00,0.00,110.00,30.00,0.00,0.00,0.00,80.00,
2019,10,"9E","Endeavor Air Inc.","FWA","Fort Wayne, IN: Fort Wayne International",26.00,1.00,0.59,0.00,0.00,0.00,0.41,0.00,0.00,56.00,33.00,0.00,0.00,0.00,23.00,
2019,10,"9E","Endeavor Air Inc.","GNV","Gainesville, FL: Gainesville Regional",59.00,8.00,1.00,0.00,5.00,0.00,2.00,0.00,0.00,186.00,46.00,0.00,105.00,0.00,35.00,
2019,10,"9E","Endeavor Air Inc.","GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",90.00,7.00,3.87,0.00,1.32,0.00,1.81,0.00,1.00,322.00,217.00,0.00,42.00,0.00,63.00,
2019,10,"9E","Endeavor Air Inc.","GRB","Green Bay, WI: Green Bay Austin Straubel International",140.00,18.00,8.48,0.00,3.17,0.00,6.35,0.00,0.00,645.00,392.00,0.00,65.00,0.00,188.00,
2019,10,"9E","Endeavor Air Inc.","GRR","Grand Rapids, MI: Gerald R. Ford International",153.00,19.00,2.25,0.00,3.81,0.00,12.94,1.00,0.00,1096.00,92.00,0.00,189.00,0.00,815.00,
2019,10,"9E","Endeavor Air Inc.","GSO","Greensboro/High Point, NC: Piedmont Triad International",61.00,21.00,2.69,0.00,3.76,0.00,14.55,1.00,0.00,1210.00,189.00,0.00,103.00,0.00,918.00,
2019,10,"9E","Endeavor Air Inc.","GSP","Greer, SC: Greenville-Spartanburg International",99.00,20.00,2.77,0.00,2.97,1.00,13.26,2.00,0.00,1268.00,262.00,0.00,99.00,26.00,881.00,
2019,10,"9E","Endeavor Air Inc.","HPN","White Plains, NY: Westchester County",104.00,11.00,2.29,0.00,0.00,0.00,8.71,0.00,0.00,375.00,89.00,0.00,0.00,0.00,286.00,
2019,10,"9E","Endeavor Air Inc.","IAD","Washington, DC: Washington Dulles International",117.00,13.00,2.62,1.00,7.96,0.00,1.42,2.00,0.00,1464.00,143.00,49.00,1155.00,0.00,117.00,
2019,10,"9E","Endeavor Air Inc.","IAH","Houston, TX: George Bush Intercontinental/Houston",101.00,31.00,0.55,0.20,28.68,0.00,1.57,0.00,0.00,1638.00,19.00,19.00,1498.00,0.00,102.00,
2019,10,"9E","Endeavor Air Inc.","IND","Indianapolis, IN: Indianapolis International",238.00,10.00,4.99,0.22,0.81,0.00,3.99,2.00,0.00,1002.00,750.00,5.00,26.00,0.00,221.00,
